Rank,Sean Focus Callout,Route Eligibility,Current PL / Owner,Target Score,Tier,Referral Evidence Band,Operating Lane,Account / Practice,MMC Company ID,Practice Type,City,Full Address,MMC Groups,2026 Spine Patients,2026 Ortho Patients,2026 Other Patients,2026 Total B2B Patients,Last Patient Date,Last Completed Visit,Days Since Visit,Visit-Days 4W,Visit-Days 12W,Linked People,Frequency Status,Planned Cadence Days,Operating Status,Next Action,Coordinate Status,Referral Sources / Review Notes
51,Core Sterling / Macomb Lane,Route pool,Sean / Sean Sweeney,9,Prospect,Visit / Prospect,Expansion / Test,Arthritis and Internal Medicine,b01a4dc6-eb44-44d9-bd28-84707680bad3,PCP,Sterling Heights,"37300 Dequindre Rd ste 138, Sterling Heights, Michigan, 48310",Internal Medicine/PCP;Rheumatologists,0,0,0,0,,2026-06-05 00:00:00,41,0,2,1,Unknown,45,Likely Open – recent MMC visit,Test: add to next spine route,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
52,Core Sterling / Macomb Lane,Route pool,Sean / Sean Sweeney,9,Prospect,Visit / Prospect,Expansion / Test,ASCENSION MACOMB OAKLAND HOSPITAL MOTOR CITY INTERNISTS,dc78e75f-e0d1-4c67-8de9-8ea4f13f15a1,PCP,WARREN,"11885 E 12 MILE RD STE 200B, WARREN, Michigan, 48093",Internal Medicine/PCP,0,0,0,0,,2026-04-24 00:00:00,83,0,1,3,Unknown,45,Likely Open – recent MMC visit,Test: add to next spine route,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
53,Core Sterling / Macomb Lane,Route pool,Sean / Sean Sweeney,9,Prospect,Visit / Prospect,Expansion / Test,Concentra Urgent Care - Warren,08-992-7098,Urgent Care,Warren,"11569 E 12 Mile Rd, Warren, Michigan, 48093-2645",Urgent care,0,0,0,0,,2026-04-24 00:00:00,83,0,1,3,Unknown,45,Likely Open – recent MMC visit,Test: add to next spine route,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
54,Core Sterling / Macomb Lane,Route pool,Sean / Sean Sweeney,9,Prospect,Visit / Prospect,Expansion / Test,Enhance Center - Clinton Township,3d816b41-5e66-4296-9926-a3f561c34546,Pain,Clinton Township,"42645 Garfield Rd suite 103, Clinton Township, Michigan, 48038",Pain Management,0,0,0,0,,2026-04-21 00:00:00,86,0,0,7,Unknown,45,Likely Open – recent MMC visit,Test: add to next spine route,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
55,Core Sterling / Macomb Lane,Route pool,Sean / Sean Sweeney,9,Prospect,Visit / Prospect,Expansion / Test,Evolve Chiropractic,3ba22115-ae74-4ab7-a206-55166daa0904,Chiropractor,Clinton Township,"19199 15 Mile Road, Clinton Township, Michigan, 48035",Chiropractor,0,0,0,0,,2026-05-12 00:00:00,65,0,1,2,Unknown,45,Likely Open – recent MMC visit,Test: add to next spine route,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
56,Core Sterling / Macomb Lane,Route pool,Sean / Sean Sweeney,9,Prospect,Visit / Prospect,Expansion / Test,Family Practice Care,1629157326,PCP,Warren,"28351 Schoenherr Rd, Warren, Michigan, 48088",Internal Medicine/PCP,0,0,0,0,,2026-05-19 00:00:00,58,0,1,2,Unknown,45,Likely Open – recent MMC visit,Test: add to next spine route,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
57,Core Sterling / Macomb Lane,Route pool,Sean / Sean Sweeney,9,Prospect,Visit / Prospect,Expansion / Test,Greater Shores Primary Care & Walk-In Clinic,1740397207,PCP,Saint Clair Shores,"22631 Greater Mack Ave, ste 100, Saint Clair Shores, MI, 48080",Internal Medicine/PCP,0,0,0,0,,2026-05-06 00:00:00,71,0,1,4,Unknown,45,Likely Open – recent MMC visit,Test: add to next spine route,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
58,Core Sterling / Macomb Lane,Route pool,Sean / Sean Sweeney,9,Prospect,Visit / Prospect,Reactivation,Henry Ford Medical Center - Lakeside,"Beaumont Dearborn, Beaumont Trenton",Orthopedic,Sterling Heights,"14500 Hall Rd, Sterling Heights, MI, 48313",Orthopedic Surgery;Cardiology,0,0,0,0,,2026-03-31 00:00:00,107,0,0,8,Unknown,45,Likely Open – recent MMC visit,Test: re-engage and qualify spine,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
59,Core Sterling / Macomb Lane,Route pool,Sean / Sean Sweeney,9,Prospect,Visit / Prospect,Expansion / Test,Macomb Township Chiropractic,1316964927,Chiropractor,Macomb,"48866 Hayes Rd, Macomb, MI, 480441954",Chiropractor,0,0,0,0,,2026-05-26 00:00:00,51,0,2,1,Unknown,45,Likely Open – recent MMC visit,Test: add to next spine route,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
60,Core Sterling / Macomb Lane,Route pool,Sean / Sean Sweeney,9,Prospect,Visit / Prospect,Expansion / Test,Maplecrest Medical Urgent Care,65b1fbb3-7ede-4c04-85dd-5d6d03be8a00,Urgent Care,STERLING HEIGHTS,"35450 DEQUINDRE RD STE 103, STERLING HEIGHTS, Michigan, 48310",Urgent care,0,0,0,0,,2026-06-04 00:00:00,42,0,1,2,Unknown,45,Likely Open – recent MMC visit,Test: add to next spine route,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
61,Core Sterling / Macomb Lane,Route pool,Sean / Sean Sweeney,9,Prospect,Visit / Prospect,Reactivation,McLaren Macomb Orthopedics & Trauma,1376524603,Orthopedic,Mount Clemens,"1030 Harrington St, ste 303, Mount Clemens, MI, 480432967",Orthopedic Surgery,0,0,0,0,,2026-02-02 00:00:00,164,0,0,4,Unknown,45,Likely Open – recent MMC visit,Test: re-engage and qualify spine,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
62,Core Sterling / Macomb Lane,Route pool,Sean / Sean Sweeney,9,Prospect,Visit / Prospect,Reactivation,MCLAREN MACOMB OSTEOPATHIC MANIPULATIVE MEDICINE,ce3fb96f-8ab2-46f8-b0d7-b367f4fbfa75,Orthopedic,MOUNT CLEMENS,"1030 HARRINGTON ST STE 304, MOUNT CLEMENS, MI, 48043",Orthopedic - PT;Physical Therapy,0,0,0,0,,2026-02-02 00:00:00,164,0,0,4,Unknown,45,Likely Open – recent MMC visit,Test: re-engage and qualify spine,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
63,Core Sterling / Macomb Lane,Route pool,Sean / Sean Sweeney,9,Prospect,Visit / Prospect,Reactivation,Michigan Advanced Pain & Spine,1c5047ff-7604-400b-9ce1-28c73249aa1a,Orthopedic,Warren,"27101 Schoenherr Rd, Warren, Michigan, 48088",Spine;Surgery Center,0,0,0,0,,2026-03-24 00:00:00,114,0,0,4,Unknown,45,Likely Open – recent MMC visit,Test: re-engage and qualify spine,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
64,Core Sterling / Macomb Lane,Route pool,Sean / Sean Sweeney,9,Prospect,Visit / Prospect,Reactivation,Michigan Orthopedic Surgeons - Shelby Township,8160a797-3415-4e80-b1ed-48863ed65af9,Orthopedic,Shelby Township,"45816 Schoenherr Rd, Shelby Township, Michigan, 48315",Orthopedic Surgery,0,0,0,0,,2026-01-22 00:00:00,175,0,0,15,Unknown,45,Likely Open – recent MMC visit,Test: re-engage and qualify spine,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
65,Core Sterling / Macomb Lane,Route pool,Sean / Sean Sweeney,9,Prospect,Visit / Prospect,Reactivation,Omni Medical Center,6052b89f-ca5f-408d-b0e0-861848ee044e,Pain,Sterling Heights,"38300 Van Dyke Ave ste 104, Sterling Heights, Michigan, 48312",Internal Medicine/PCP;Pain Management,0,0,0,0,,2026-03-18 00:00:00,120,0,0,2,Unknown,45,Likely Open – recent MMC visit,Test: re-engage and qualify spine,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
66,Core Sterling / Macomb Lane,Route pool,Sean / Sean Sweeney,9,Prospect,Visit / Prospect,Expansion / Test,PEDIATRIC AND ADOLESCENT CARE ASSOCIATES,737db59d-0144-4c00-84f1-d0493904d41a,PCP,STERLING HEIGHTS,"43184 DEQUINDRE RD STE 208, STERLING HEIGHTS, Michigan",Internal Medicine/PCP;Pediatrician,0,0,0,0,,2026-05-07 00:00:00,70,0,1,3,Unknown,45,Likely Open – recent MMC visit,Test: add to next spine route,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
67,Core Sterling / Macomb Lane,Route pool,Sean / Sean Sweeney,9,Prospect,Visit / Prospect,Expansion / Test,Pioneer Medical Associates,da5f0c30-6e43-4e83-ad66-93022143dd8d,PCP,Warren,"27560 Hoover Rd, Warren, Michigan, 48093",Internal Medicine/PCP,0,0,0,0,,2026-05-21 00:00:00,56,0,1,13,Up to date,45,Likely Open – recent MMC visit,Test: add to next spine route,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
68,Core Sterling / Macomb Lane,Route pool,Sean / Sean Sweeney,9,Prospect,Visit / Prospect,Expansion / Test,Rauch Chiropractic Life Center PLLC,84f626ba-51ef-41c4-8ac8-56b619a06a4a,Chiropractor,Sterling Heights,"37300 Dequindre Rd, Sterling Heights, Michigan, 48310",Chiropractor,0,0,0,0,,2026-06-04 00:00:00,42,0,1,3,Unknown,45,Likely Open – recent MMC visit,Test: add to next spine route,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
69,Core Sterling / Macomb Lane,Route pool,Sean / Sean Sweeney,9,Prospect,Visit / Prospect,Expansion / Test,Shoreline chiropractic center,d42d53b5-4076-4ad1-b90c-65f0d547a4d9,Chiropractor,St. Clair Shores,"31010 Harper Avenue, St. Clair Shores, Michigan, 48082",Chiropractor,0,0,0,0,,2026-05-06 00:00:00,71,0,1,3,Unknown,45,Likely Open – recent MMC visit,Test: add to next spine route,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
70,Core Sterling / Macomb Lane,Route pool,Sean / Sean Sweeney,9,Prospect,Visit / Prospect,Expansion / Test,Suburban Chiropractic,1999ae47-3729-46a1-a7c1-cb109f99e1fc,Chiropractor,St. Clair Shores,"22701 Greater Mack Ave St Clair Shores, St. Clair Shores, Michigan, 48080",Chiropractor,0,0,0,0,,2026-04-27 00:00:00,80,0,1,3,Unknown,45,Likely Open – recent MMC visit,Test: add to next spine route,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
71,Core Sterling / Macomb Lane,Route pool,Sean / Sean Sweeney,9,Prospect,Visit / Prospect,Expansion / Test,Total Health Systems,d76d26cf-c291-47de-9b69-c56ac7b7af35,Pain,St. Clair Shores,"30045 Harper Ave St Clair Shores, St. Clair Shores, Michigan, 48082",Internal Medicine/PCP;Pain Management;Physical Therapy;Chiropractor,0,0,0,0,,2026-05-06 00:00:00,71,0,1,1,Unknown,45,Likely Open – recent MMC visit,Test: add to next spine route,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
72,Core Sterling / Macomb Lane,Route pool,Sean / Sean Sweeney,9,Prospect,Visit / Prospect,Expansion / Test,Trinity Medical Center,fd916cf0-7e60-4f1d-bf81-a8f9d6051c63,PCP,Sterling Heights,"34764 Dequindre Rd, Sterling Heights, Michigan, 48310",Internal Medicine/PCP,0,0,0,0,,2026-06-04 00:00:00,42,0,2,1,Unknown,45,Likely Open – recent MMC visit,Test: add to next spine route,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
73,Core Sterling / Macomb Lane,Route pool,Sean / Sean Sweeney,8,Prospect,Visit / Prospect,Reactivation,Alliance Health - Clinton Township,5ab9e122-19cd-4d41-b17c-f3ed0fc771fc,PCP,Clinton Township,"15500 19 Mile Rd ste 360, Clinton Township, Michigan, 48038",Internal Medicine/PCP,0,0,0,0,,2026-03-26 00:00:00,112,0,0,3,Unknown,45,Likely Open – recent MMC visit,Test: re-engage and qualify spine,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
74,Core Sterling / Macomb Lane,Route pool,Sean / Sean Sweeney,8,Prospect,Visit / Prospect,Expansion / Test,"ALLIANCE HEALTH PROFESSIONALS, PLLC",e965aea6-5da9-43a6-aceb-8b1f08c3b26a,PCP,CLINTON TOWNSHIP,"43421 GARFIELD RD STE 1, CLINTON TOWNSHIP, Michigan, 48038",Internal Medicine/PCP,0,0,0,0,,2026-04-21 00:00:00,86,0,0,7,Unknown,45,Likely Open – recent MMC visit,Test: add to next spine route,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
75,Core Sterling / Macomb Lane,Route pool,Sean / Sean Sweeney,8,Prospect,Visit / Prospect,Expansion / Test,Ausi Medical Center,82e3eff2-83b7-4ed1-97e4-e44b94bc82fa,PCP,Sterling Heights,"37300 Dequindre, ste 120, Sterling Heights, Michigan, 48310",Internal Medicine/PCP,0,0,0,0,,2026-06-04 00:00:00,42,0,1,1,Unknown,45,Likely Open – recent MMC visit,Test: add to next spine route,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
76,Core Sterling / Macomb Lane,Route pool,Sean / Sean Sweeney,8,Prospect,Visit / Prospect,Reactivation,Baetens Chiropractic,efc60f47-6030-4637-b586-00583fc5fc7d,Chiropractor,St. Clair Shores,"26000 Harper Ave St Clair Shores, St. Clair Shores, Michigan, 48081",Chiropractor,0,0,0,0,,2026-03-27 00:00:00,111,0,0,2,Unknown,45,Likely Open – recent MMC visit,Test: re-engage and qualify spine,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
77,Core Sterling / Macomb Lane,Route pool,Sean / Sean Sweeney,8,Prospect,Visit / Prospect,Reactivation,Beaumont Family Medical Center - St Clair Shores,1629093158,PCP,St Clair Shores,"21400 East 11 Mile Rd, St Clair Shores, MI, 48081",Internal Medicine/PCP,0,0,0,0,,2025-03-10 00:00:00,493,0,0,4,Unknown,45,Verify before route,Test: re-engage and qualify spine,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
78,Core Sterling / Macomb Lane,Route pool,Sean / Sean Sweeney,8,Prospect,Visit / Prospect,Reactivation,BENCHMARK HEALTH,70557b72-628e-4306-8680-aa29539cb9e2,PCP,WARREN,"11477 E 12 MILE RD, WARREN, MI, 48093",Internal Medicine/PCP,0,0,0,0,,2025-11-19 00:00:00,239,0,0,2,Unknown,45,Verify before route,Test: re-engage and qualify spine,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
79,Core Sterling / Macomb Lane,Route pool,Sean / Sean Sweeney,8,Prospect,Visit / Prospect,Expansion / Test,Clinton Urgent Care,67f2f078-da32-4cd1-a854-b9ff5b08333f,Urgent Care,Clinton Township,"37150 S Gratiot Avenue, Clinton Township, Michigan, 48036",Urgent care,0,0,0,0,,2026-05-14 00:00:00,63,0,1,1,Unknown,45,Likely Open – recent MMC visit,Test: add to next spine route,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
80,Core Sterling / Macomb Lane,Route pool,Sean / Sean Sweeney,8,Prospect,Visit / Prospect,Reactivation,Complete Family Care,1619931268,PCP,Sterling Heights,"43956 Mound Rd, Sterling Heights, Michigan, 48314",Internal Medicine/PCP,0,0,0,0,,2026-03-31 00:00:00,107,0,0,7,Unknown,45,Likely Open – recent MMC visit,Test: re-engage and qualify spine,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
81,Core Sterling / Macomb Lane,Route pool,Sean / Sean Sweeney,8,Prospect,Visit / Prospect,Reactivation,Corewell East Area Family Practice - Roseville,1073597985,PCP,Roseville,"30695 Little Mack Ave, ste 200, Roseville, MI, 48066",Internal Medicine/PCP,0,0,0,0,,2026-03-12 00:00:00,126,0,0,11,Unknown,45,Likely Open – recent MMC visit,Test: re-engage and qualify spine,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
82,Core Sterling / Macomb Lane,Route pool,Sean / Sean Sweeney,8,Prospect,Visit / Prospect,Reactivation,Doctors Urgent Care Shelby & Telemedicine By Doctors Urgent Care Group,33c640ab-ff39-43cd-8763-8b105bfcf999,Urgent Care,Shelby Township,"46961 Van Dyke Ave, Shelby Township, MI 48317, United States, Shelby Township, Michigan, 48317",Urgent care,0,0,0,0,,2026-03-18 00:00:00,120,0,0,2,Past due,45,Likely Open – recent MMC visit,Increase: visit now; reset cadence,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
83,Core Sterling / Macomb Lane,Route pool,Sean / Sean Sweeney,8,Prospect,Visit / Prospect,Expansion / Test,Downriver Podiatrists,10-997-2166,PCP,Warren,"31730 Hoover Rd Ste B, Warren, MI, 48093-1700",Internal Medicine/PCP,0,0,0,0,,2026-05-15 00:00:00,62,0,1,1,Unknown,45,Likely Open – recent MMC visit,Test: add to next spine route,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
84,Core Sterling / Macomb Lane,Route pool,Sean / Sean Sweeney,8,Prospect,Visit / Prospect,Reactivation,Expressmed Urgent Care,523162cb-c15f-490a-9e71-30dc36cee76c,Urgent Care,Sterling Heights,"37300 Dequindre Rd ste 102, Sterling Heights, Michigan, 48310",Urgent care,0,0,0,0,,2025-07-09 00:00:00,372,0,0,2,Unknown,45,Verify before route,Test: re-engage and qualify spine,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
85,Core Sterling / Macomb Lane,Route pool,Sean / Sean Sweeney,8,Prospect,Visit / Prospect,Expansion / Test,Get Well Roseville Urgent Care,f3235615-8fd1-4de2-978b-94c69071539e,Urgent Care,Roseville,"20769 E 13 Mile Rd, Roseville, MI, 48066",Urgent care,0,0,0,0,,2026-05-06 00:00:00,71,0,1,1,Unknown,45,Likely Open – recent MMC visit,Test: add to next spine route,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
86,Core Sterling / Macomb Lane,Route pool,Sean / Sean Sweeney,8,Prospect,Visit / Prospect,Expansion / Test,Get Well Urgent Care,d84a7cc0-d4e2-4ab5-a0ca-cbf8e0430f50,Urgent Care,Clinton Township,"15945 19 Mile Road, Clinton Township, Michigan, 48038",Urgent care,0,0,0,0,,2026-05-19 00:00:00,58,0,1,1,Unknown,45,Likely Open – recent MMC visit,Test: add to next spine route,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
87,Core Sterling / Macomb Lane,Route pool,Sean / Sean Sweeney,8,Prospect,Visit / Prospect,Expansion / Test,Gohealth Urgent Care,5ce07655-cb3f-4556-84f0-be71d54f4f5d,Urgent Care,Mount Clemens,"40463 S Groesbeck Hwy Mt Clemens, Mount Clemens, Michigan, 48043",Urgent care,0,0,0,0,,2026-04-20 00:00:00,87,0,0,2,Unknown,45,Likely Open – recent MMC visit,Test: add to next spine route,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
88,Core Sterling / Macomb Lane,Route pool,Sean / Sean Sweeney,8,Prospect,Visit / Prospect,Reactivation,Grace Family Care,87465866-4c21-47b3-af52-9df7ab3344fc,PCP,Warren,"31500 Dequindre Road, Warren, Michigan, 48092",Internal Medicine/PCP,0,0,0,0,,2026-04-16 00:00:00,91,0,0,2,Unknown,45,Likely Open – recent MMC visit,Test: re-engage and qualify spine,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
89,Core Sterling / Macomb Lane,Route pool,Sean / Sean Sweeney,8,Prospect,Visit / Prospect,Reactivation,Harper Chiropractic Center,48b8ce6e-11ea-4323-a197-e77ee9d99d4b,Chiropractor,St. Clair Shores,"27889 Harper, St. Clair Shores, MI, St. Clair Shores, Michigan, 48081",Chiropractor,0,0,0,0,,2026-01-16 00:00:00,181,0,0,2,Unknown,45,Verify before route,Test: re-engage and qualify spine,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
90,Core Sterling / Macomb Lane,Route pool,Sean / Sean Sweeney,8,Prospect,Visit / Prospect,Reactivation,Henry Ford Macomb Family Medicine Residency,1962421883,PCP,Clinton Township,"15400 19 Mile Rd, ste 150, Clinton Township, Michigan, 480386327",Internal Medicine/PCP,0,0,0,0,,2026-03-26 00:00:00,112,0,0,3,Unknown,45,Likely Open – recent MMC visit,Test: re-engage and qualify spine,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
91,Core Sterling / Macomb Lane,Route pool,Sean / Sean Sweeney,8,Prospect,Visit / Prospect,Reactivation,HYPERBARIC MEDICAL CENTER,c577c408-2474-483d-9b55-eb616b6b30d5,Pain,CLINTON TOWNSHIP,"42490 GARFIELD RD STE 207, CLINTON TOWNSHIP, MI, 48038",Pain Management,0,0,0,0,,2024-12-18 00:00:00,575,0,0,1,Unknown,45,Verify before route,Test: re-engage and qualify spine,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
92,Core Sterling / Macomb Lane,Route pool,Sean / Sean Sweeney,8,Prospect,Visit / Prospect,Expansion / Test,Johr Chiropractic PLLC,9bf850e1-5ccc-4bc2-965b-40d0befb0459,Chiropractor,St. Clair Shores,"27200 Harper Ave St Clair Shores, St. Clair Shores, Michigan, 48081",Chiropractor,0,0,0,0,,2026-05-06 00:00:00,71,0,1,1,Unknown,45,Likely Open – recent MMC visit,Test: add to next spine route,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
93,Core Sterling / Macomb Lane,Route pool,Sean / Sean Sweeney,8,Prospect,Visit / Prospect,Expansion / Test,"Joyanta SAHA, MD, PLC",8a4c801f-d7fa-4faf-b0aa-00215693fb41,PCP,CLINTON TOWNSHIP,"43211 DALCOMA DR STE 1, CLINTON TOWNSHIP, Michigan, 48038",Internal Medicine/PCP,0,0,0,0,,2026-05-19 00:00:00,58,0,1,1,Unknown,45,Likely Open – recent MMC visit,Test: add to next spine route,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
94,Core Sterling / Macomb Lane,Route pool,Sean / Sean Sweeney,8,Prospect,Visit / Prospect,Reactivation,McLaren Pediatrics & Family Medicine,a12dc8f6-538a-4d3f-b05c-34764cc7d509,PCP,Sterling Heights,"35111 Dodge Park Rd, Sterling Heights, Michigan, 48312",Internal Medicine/PCP;Pediatrician,0,0,0,0,,2026-03-18 00:00:00,120,0,0,2,Unknown,45,Likely Open – recent MMC visit,Test: re-engage and qualify spine,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
95,Core Sterling / Macomb Lane,Route pool,Sean / Sean Sweeney,8,Prospect,Visit / Prospect,Expansion / Test,"Office of Audrey M Sim MD,",1881604577,PCP,Saint Clair Shores,"25915 Harper Ave, ste B, Saint Clair Shores, MI, 480813770",Internal Medicine/PCP,0,0,0,0,,2026-05-06 00:00:00,71,0,1,1,Unknown,45,Likely Open – recent MMC visit,Test: add to next spine route,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
96,Core Sterling / Macomb Lane,Route pool,Sean / Sean Sweeney,8,Prospect,Visit / Prospect,Expansion / Test,Office of Dudley Roberts III MD,24d85a4f-b79f-444f-82e1-6b6c9fe044c3,PCP,Roseville,"25910 Kelly Road, Roseville, Michigan, 48066",Internal Medicine/PCP,0,0,0,0,,2026-05-06 00:00:00,71,0,1,1,Unknown,45,Likely Open – recent MMC visit,Test: add to next spine route,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
97,Core Sterling / Macomb Lane,Route pool,Sean / Sean Sweeney,8,Prospect,Visit / Prospect,Expansion / Test,Office of Lillman Dwarka MD,144c374c-b718-48c1-9b9f-daffbf7ba530,PCP,Sterling Heights,"38300 Van Dyke Ave, ste 105, Sterling Heights, MI, 48312",Internal Medicine/PCP,0,0,0,0,,2026-04-29 00:00:00,78,0,1,1,Unknown,45,Likely Open – recent MMC visit,Test: add to next spine route,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
98,Core Sterling / Macomb Lane,Route pool,Sean / Sean Sweeney,8,Prospect,Visit / Prospect,Reactivation,"Office of Mazen Alsaqa, MD",1cb6b68e-47b4-42a4-8094-5f5c6e3e358f,PCP,Sterling Heights,"37548 Dequindre Rd, Sterling Heights, Michigan, 48310",Internal Medicine/PCP,0,0,0,0,,2026-03-20 00:00:00,118,0,0,2,Unknown,45,Likely Open – recent MMC visit,Test: re-engage and qualify spine,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
99,Core Sterling / Macomb Lane,Route pool,Sean / Sean Sweeney,8,Prospect,Visit / Prospect,Expansion / Test,"Office of Richard Fici DO,",1730292079,PCP,Roseville,"20905 Twelve Mile Road, ste 300, Roseville, Michigan, 48066",Internal Medicine/PCP,0,0,0,0,,2026-05-06 00:00:00,71,0,1,1,Unknown,45,Likely Open – recent MMC visit,Test: add to next spine route,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
100,Core Sterling / Macomb Lane,Route pool,Sean / Sean Sweeney,8,Prospect,Visit / Prospect,Expansion / Test,Office of Vincent Maribao MD,1730114760,PCP,Saint Clair Shores,"29167 Jefferson Avenue, Suite 100, Saint Clair Shores, MI, 48081",Weight Management;Hollistic Medicine;Internal Medicine/PCP,0,0,0,0,,2026-05-06 00:00:00,71,0,1,1,Unknown,45,Likely Open – recent MMC visit,Test: add to next spine route,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
101,Core Sterling / Macomb Lane,Route pool,Sean / Sean Sweeney,8,Prospect,Visit / Prospect,Expansion / Test,Poirer Chiropractic,b82d7730-c597-4829-8f69-cd95fb99527f,Chiropractor,Shelby Township,"47101 Hayes Rd, Shelby Township, Michigan, 48315",Chiropractor,0,0,0,0,,2026-05-26 00:00:00,51,0,1,1,Unknown,45,Likely Open – recent MMC visit,Test: add to next spine route,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
102,Core Sterling / Macomb Lane,Route pool,Sean / Sean Sweeney,8,Prospect,Visit / Prospect,Expansion / Test,ProMed Urgent Care and Primary Care,bc1966c5-6f92-4afa-ad26-6886bba399f9,Urgent Care,Roseville,"19041 Twelve Mile Road, Roseville, Michigan, 48066",Urgent care,0,0,0,0,,2026-05-06 00:00:00,71,0,1,1,Unknown,45,Likely Open – recent MMC visit,Test: add to next spine route,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
103,Core Sterling / Macomb Lane,Route pool,Sean / Sean Sweeney,8,Prospect,Visit / Prospect,Expansion / Test,Salta Direct Primary Care - Shelby Township,1306865910,PCP,Shelby Township,"51221 Schoenherr Road, ste 103, Shelby Township, Michigan, 48315",Concierge Physicians;Internal Medicine/PCP,0,0,0,0,,2026-05-26 00:00:00,51,0,1,1,Unknown,45,Likely Open – recent MMC visit,Test: add to next spine route,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
104,Core Sterling / Macomb Lane,Route pool,Sean / Sean Sweeney,8,Prospect,Visit / Prospect,Reactivation,South Macomb Internists,1669479846,PCP,Warren,"11885 E 12 Mile Rd. Ste. 100B, Warren, Michigan, 48093",Internal Medicine/PCP,0,0,0,0,,2026-04-16 00:00:00,91,0,0,5,Unknown,45,Likely Open – recent MMC visit,Test: re-engage and qualify spine,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
